,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
2015-08-01,444.0,6.6,10.7,13.0,34.0,-1.0,26.0,41.0,-10.0,6.0,1.0,100.69,100.68,-0.3,-0.3,1.7,11.2,100.0941,100.3598,99.98796,99.78577,99.94528,99.09373,99.80058,111.5,111.9,104.1,108.3,2.91,888070.0,833810.0,390112.0,-0.0277,0.3208,0.5867,445.029999
2015-09-01,562.0,5.7,9.2,11.0,28.0,0.0,23.0,33.0,-10.0,6.0,2.0,100.5,100.5,-0.2,-0.2,1.9,9.9,99.90418,100.2535,100.0763,99.6132,99.85733,98.93428,99.68508,112.0,112.7,105.6,109.1,2.89,870071.0,815897.0,372315.0,-0.037,0.3311,0.5858,421.140015
2015-10-01,540.0,7.7,12.1,12.0,28.0,1.0,27.0,28.0,-9.0,6.0,7.0,100.41,100.4,-0.1,-0.1,0.6,9.1,99.7775,100.1328,100.1501,99.47058,99.76669,98.78801,99.59638,113.0,113.6,106.6,110.7,2.85,868071.0,813835.0,369532.0,-0.0536,0.3214,0.5801,462.119995
2015-11-01,524.0,7.1,15.8,14.0,31.0,3.0,31.0,31.0,-7.0,8.0,10.0,99.85,99.84,-0.6,-0.6,1.3,11.3,99.70998,100.0126,100.2045,99.35024,99.68029,98.66244,99.52686,111.9,112.9,105.8,110.3,2.86,874764.0,820323.0,380933.0,-0.0876,0.371,0.5737,469.519989
2015-12-01,683.0,6.6,15.9,13.0,27.0,4.0,28.0,27.0,-8.0,7.0,11.0,99.73,99.72,-0.1,-0.1,-0.2,7.9,99.67348,99.90533,100.2386,99.2452,99.59861,98.56471,99.46882,111.5,112.9,105.7,109.3,2.78,858910.0,803289.0,372475.0,-0.1263,0.5332,0.5823,441.820007
2016-01-01,502.0,7.4,8.9,11.0,23.0,3.0,23.0,22.0,-9.0,7.0,11.0,98.71,98.67,-1.0,-1.1,0.6,8.4,99.66734,99.82614,100.2438,99.15961,99.52589,98.51763,99.42728,111.9,112.6,107.2,110.7,2.8,874993.0,820324.0,379511.0,-0.1461,0.6196,0.5897,431.279999
2016-02-01,587.0,6.1,12.8,6.0,16.0,0.0,17.0,15.0,-10.0,4.0,6.0,99.3,99.25,0.6,0.6,0.0,7.6,99.70451,99.77116,100.2095,99.1012,99.47008,98.53933,99.40908,114.1,113.2,109.4,110.8,2.77,888714.0,834047.0,389733.0,-0.1836,0.6227,0.5907,427.269989
2016-03-01,635.0,3.3,8.1,2.0,5.0,0.0,8.0,3.0,-7.0,1.0,7.0,100.31,100.26,1.0,1.0,-0.1,9.0,99.80458,99.72894,100.1363,99.08051,99.44601,98.63231,99.42615,112.0,112.5,106.5,110.7,2.7,888548.0,833493.0,392167.0,-0.2285,0.632,0.5883,440.109985
2016-04-01,498.0,3.8,11.8,6.0,12.0,1.0,15.0,9.0,-6.0,1.0,9.0,100.4,100.32,0.1,0.1,1.1,9.8,99.93391,99.70019,100.0385,99.07968,99.44524,98.77324,99.46573,112.5,113.9,106.8,112.5,2.69,882493.0,827361.0,391851.0,-0.2492,0.6327,0.5889,439.679993
2016-05-01,531.0,4.6,11.8,7.0,15.0,2.0,18.0,12.0,-5.0,0.0,10.0,100.58,100.5,0.2,0.2,1.4,8.5,100.077,99.68247,99.93529,99.08284,99.46089,98.93954,99.51707,112.0,112.4,105.7,110.1,2.64,901321.0,845865.0,407763.0,-0.2572,0.6448,0.5892,447.869995
2016-06-01,496.0,5.9,6.5,11.0,23.0,3.0,23.0,23.0,-3.0,2.0,9.0,100.26,100.19,-0.3,-0.3,2.7,10.8,100.2311,99.68489,99.85562,99.08411,99.48682,99.11502,99.5765,114.0,113.7,107.0,110.8,2.59,874652.0,818903.0,379794.0,-0.2679,0.6516,0.5747,435.880005
2016-07-01,466.0,3.7,7.5,9.0,20.0,2.0,22.0,18.0,-3.0,1.0,7.0,100.76,100.68,0.5,0.5,3.0,11.5,100.3894,99.71215,99.83327,99.10204,99.52737,99.29025,99.64727,113.0,112.9,106.8,110.7,2.61,873695.0,817205.0,375962.0,-0.2945,0.6963,0.5136,449.829987
2016-08-01,456.0,3.2,3.7,9.0,20.0,1.0,21.0,19.0,-5.0,-1.0,9.0,100.88,100.8,0.1,0.1,-0.6,5.9,100.5238,99.76064,99.8858,99.14976,99.58869,99.45905,99.72534,114.8,114.3,108.3,112.0,2.56,880781.0,824462.0,377298.0,-0.2982,0.8102,0.4069,454.380005
